Timestamp,Timestamp (Seconds),Algorithm,Algorithm (human readable),Avg Key Gen Time (ms),Avg Cert Signing Request Time (ms),Avg Cert Gen Time (ms),Avg Cert Verifying Time (ms)
21:26.9,1615504887,rsa 2048,RSA 2048,125.9933221,5.902295494,3.247057033,1.973509073
04:42.8,1615507483,rsa 3072,RSA 3072,248.4604376,5.887075281,3.23980248,1.966837883
29:47.8,1615512588,rsa 4096,RSA 4096,498.7974397,6.11507144,3.431042624,2.081896353
42:34.8,1615513355,rsa,RSA,64.96435974,6.224227333,3.399737906,2.104932523
48:51.6,1615517332,rsa3072_rainbowIcompressed,RSA 3072 + Rainbow I Compressed,287.8970105,50.37126179,52.91471686,6.438194823
21:31.7,1615519292,rsa3072_dilithium2,RSA 3072 + Dilithium2,184.1781013,4.551955152,5.018896651,2.223982406
,,,,,,,
,,,,,,,
,,,,,,,
OLD,,rsa3072_rainbowIcompressed,RSA 3072 + Rainbow I Compressed,63.96436691,1.990318298,54.66961861,6.335258484
OLD,,rsa3072_dilithium2,RSA 3072 + Dilithium2,38.76042366,1.809835434,1.543521881,1.682758331
